,name,M/F,n,year
2523,Isabella,F,18225,2006
2524,Ava,F,16939,2006
2525,Abigail,F,15628,2006
2526,Olivia,F,15498,2006
2527,Hannah,F,14544,2006
2528,Sophia,F,13501,2006
2529,Samantha,F,12462,2006
2530,Jacob,M,24845,2006
2531,Michael,M,22637,2006
2532,Joshua,M,22322,2006
2533,Ethan,M,20514,2006
2534,Matthew,M,20331,2006
2535,Daniel,M,20065,2006
2536,Andrew,M,19721,2006
2537,Christopher,M,19680,2006
2538,Anthony,M,19404,2006
2539,William,M,18957,2006
2540,Emily,F,19355,2007
2541,Isabella,F,19139,2007
2542,Emma,F,18373,2007
2543,Ava,F,18051,2007
2544,Madison,F,17961,2007
2545,Sophia,F,17024,2007
2546,Olivia,F,16582,2007
2547,Abigail,F,15470,2007
2548,Hannah,F,13312,2007
2549,Elizabeth,F,13056,2007
2550,Jacob,M,24282,2007
2551,Michael,M,21992,2007
2552,Ethan,M,21029,2007
2553,Joshua,M,20655,2007
2554,Daniel,M,20251,2007
2555,Christopher,M,20018,2007
2556,Anthony,M,19627,2007
2557,William,M,18882,2007
2558,Matthew,M,18739,2007
2559,Andrew,M,18449,2007
2560,Emma,F,18813,2008
2561,Isabella,F,18616,2008
2562,Emily,F,17434,2008
2563,Olivia,F,17081,2008
2564,Ava,F,17039,2008
2565,Madison,F,17032,2008
2566,Sophia,F,16084,2008
2567,Abigail,F,15082,2008
2568,Elizabeth,F,12008,2008
2569,Chloe,F,11824,2008
2570,Jacob,M,22594,2008
2571,Michael,M,20626,2008
2572,Ethan,M,20216,2008
2573,Joshua,M,19205,2008
2574,Daniel,M,19005,2008
2575,Alexander,M,18697,2008
2576,Anthony,M,18397,2008
2577,William,M,18391,2008
2578,Christopher,M,17947,2008
2579,Matthew,M,17580,2008
2580,Isabella,F,22306,2009
2581,Emma,F,17895,2009
2582,Olivia,F,17435,2009
2583,Sophia,F,16944,2009
2584,Ava,F,15873,2009
2585,Emily,F,15352,2009
2586,Madison,F,15239,2009
2587,Abigail,F,14390,2009
2588,Chloe,F,11909,2009
2589,Mia,F,11426,2009
2590,Jacob,M,21175,2009
2591,Ethan,M,19847,2009
2592,Michael,M,18940,2009
2593,Alexander,M,18234,2009
2594,William,M,17918,2009
2595,Joshua,M,17650,2009
2596,Daniel,M,17542,2009
2597,Jayden,M,17288,2009
2598,Noah,M,17247,2009
2599,Christopher,M,16355,2009
2600,Isabella,F,22913,2010
2601,Sophia,F,20643,2010
2602,Emma,F,17345,2010
2603,Olivia,F,17028,2010
2604,Ava,F,15433,2010
2605,Emily,F,14274,2010
2606,Abigail,F,14247,2010
2607,Madison,F,13183,2010
2608,Chloe,F,11754,2010
2609,Mia,F,10639,2010
2610,Jacob,M,22127,2010
2611,Ethan,M,18002,2010
2612,Michael,M,17350,2010
2613,Jayden,M,17179,2010
2614,William,M,17051,2010
2615,Alexander,M,16756,2010
2616,Noah,M,16451,2010
2617,Daniel,M,15843,2010
2618,Aiden,M,15538,2010
2619,Anthony,M,15493,2010
2620,Sophia,F,21842,2011
2621,Isabella,F,19910,2011
2622,Emma,F,18803,2011
2623,Olivia,F,17322,2011
2624,Ava,F,15503,2011
2625,Emily,F,14258,2011
2626,Abigail,F,13248,2011
2627,Madison,F,12389,2011
2628,Mia,F,11530,2011
2629,Chloe,F,10991,2011
2630,Jacob,M,20371,2011
2631,Mason,M,19510,2011
2632,William,M,17343,2011
2633,Jayden,M,16992,2011
2634,Noah,M,16862,2011
2635,Michael,M,16795,2011
2636,Ethan,M,16684,2011
2637,Alexander,M,15702,2011
2638,Aiden,M,15496,2011
2639,Daniel,M,15291,2011
2640,Sophia,F,22313,2012
2641,Emma,F,20945,2012
2642,Isabella,F,19099,2012
2643,Olivia,F,17316,2012
2644,Ava,F,15533,2012
2645,Emily,F,13649,2012
2646,Abigail,F,12700,2012
2647,Mia,F,12023,2012
2648,Madison,F,11397,2012
2649,Elizabeth,F,9708,2012
2650,Jacob,M,19074,2012
2651,Mason,M,18969,2012
2652,Ethan,M,17672,2012
2653,Noah,M,17353,2012
2654,William,M,16885,2012
2655,Liam,M,16804,2012
2656,Michael,M,16169,2012
2657,Jayden,M,16127,2012
2658,Alexander,M,15237,2012
2659,Aiden,M,14903,2012
2660,Sophia,F,21223,2013
2661,Emma,F,20942,2013
2662,Olivia,F,18428,2013
2663,Isabella,F,17642,2013
2664,Ava,F,15252,2013
2665,Mia,F,13152,2013
2666,Emily,F,13126,2013
2667,Abigail,F,12409,2013
2668,Madison,F,10596,2013
2669,Elizabeth,F,9454,2013
2670,Noah,M,18257,2013
2671,Jacob,M,18158,2013
2672,Liam,M,18137,2013
2673,Mason,M,17699,2013
2674,William,M,16641,2013
2675,Ethan,M,16241,2013
2676,Michael,M,15497,2013
2677,Alexander,M,14905,2013
2678,Jayden,M,14766,2013
2679,Daniel,M,14298,2013
2680,Emma,F,20936,2014
2681,Olivia,F,19807,2014
2682,Sophia,F,18609,2014
2683,Isabella,F,17089,2014
2684,Ava,F,15696,2014
2685,Mia,F,13512,2014
2686,Emily,F,12647,2014
2687,Abigail,F,12085,2014
2688,Madison,F,10320,2014
2689,Charlotte,F,10115,2014
2690,Noah,M,19305,2014
2691,Liam,M,18462,2014
2692,Mason,M,17201,2014
2693,Jacob,M,16883,2014
2694,William,M,16820,2014
2695,Ethan,M,15724,2014
2696,Michael,M,15454,2014
2697,Alexander,M,15414,2014
2698,James,M,14431,2014
2699,Daniel,M,13937,2014
2700,Emma,F,20455,2015
2701,Olivia,F,19691,2015
2702,Sophia,F,17417,2015
2703,Ava,F,16378,2015
2704,Isabella,F,15617,2015
2705,Mia,F,14905,2015
2706,Abigail,F,12401,2015
2707,Emily,F,11786,2015
2708,Charlotte,F,11398,2015
2709,Harper,F,10295,2015
2710,Noah,M,19635,2015
2711,Liam,M,18374,2015
2712,Mason,M,16627,2015
2713,Jacob,M,15949,2015
2714,William,M,15909,2015
2715,Ethan,M,15077,2015
2716,James,M,14824,2015
2717,Alexander,M,14547,2015
2718,Michael,M,14431,2015
2719,Benjamin,M,13700,2015
2720,Emma,F,19496,2016
2721,Olivia,F,19365,2016
2722,Ava,F,16302,2016
2723,Sophia,F,16128,2016
2724,Isabella,F,14795,2016
2725,Mia,F,14428,2016
2726,Charlotte,F,13090,2016
2727,Abigail,F,11760,2016
2728,Emily,F,10972,2016
2729,Harper,F,10787,2016
2730,Noah,M,19117,2016
2731,Liam,M,18218,2016
2732,William,M,15761,2016
2733,Mason,M,15244,2016
2734,James,M,14862,2016
2735,Benjamin,M,14641,2016
2736,Jacob,M,14510,2016
2737,Michael,M,14088,2016
2738,Elijah,M,13902,2016
2739,Ethan,M,13819,2016
2740,Emma,F,19800,2017
2741,Olivia,F,18703,2017
2742,Ava,F,15958,2017
2743,Isabella,F,15180,2017
2744,Sophia,F,14883,2017
2745,Mia,F,13470,2017
2746,Charlotte,F,12937,2017
2747,Amelia,F,11833,2017
2748,Evelyn,F,10712,2017
2749,Abigail,F,10607,2017
2750,Liam,M,18798,2017
2751,Noah,M,18410,2017
2752,William,M,14967,2017
2753,James,M,14291,2017
2754,Logan,M,14014,2017
2755,Benjamin,M,13797,2017
